checkpoint,episode,status,pnl_usd,pnl_pct,trades,win_rate,profit_factor,max_drawdown,composite_score,avg_trade_pnl,error
checkpoint_ep2550.pt,2550,success,162.32,16.23,118,39.0,1.88,4.19,0.9715,1.375593220338983,
checkpoint_ep2600.pt,2600,success,164.57,16.46,114,42.1,1.84,7.25,0.9595,1.44359649122807,
checkpoint_ep2650.pt,2650,success,147.1,14.71,211,44.5,1.56,4.07,0.9227,0.6971563981042653,
checkpoint_ep2700.pt,2700,success,115.15,11.52,101,46.5,1.78,4.31,0.9484,1.1400990099009902,
checkpoint_ep2750.pt,2750,success,99.67,9.97,162,40.1,1.43,5.14,0.8859,0.615246913580247,
checkpoint_ep2800.pt,2800,success,172.33,17.23,146,42.5,1.81,4.64,0.9617,1.1803424657534247,
checkpoint_ep2850.pt,2850,success,199.94,19.99,175,43.4,1.97,3.99,0.9878,1.1425142857142856,
checkpoint_ep2900.pt,2900,success,151.32,15.13,83,45.8,2.32,4.08,0.9895,1.823132530120482,
checkpoint_ep2950.pt,2950,success,117.64,11.76,75,42.7,2.07,4.69,0.9817,1.5685333333333333,
checkpoint_ep3000.pt,3000,success,95.07,9.51,13,53.8,9.82,0.41,0.9773,7.313076923076922,
checkpoint_ep3050.pt,3050,success,148.87,14.89,20,35.0,8.27,1.38,0.9947,7.4435,
checkpoint_ep3100.pt,3100,success,175.46,17.55,174,43.7,1.79,6.09,0.9553,1.0083908045977013,
checkpoint_ep3150.pt,3150,success,158.87,15.89,135,38.5,1.82,5.27,0.9613,1.1768148148148148,
checkpoint_ep3200.pt,3200,success,182.52,18.25,129,41.9,2.11,4.42,0.9905,1.4148837209302327,
checkpoint_ep3250.pt,3250,success,182.25,18.22,140,41.4,1.92,5.72,0.9752,1.3017857142857143,
checkpoint_ep3300.pt,3300,success,159.17,15.92,164,43.3,1.76,4.85,0.9522,0.9705487804878048,
checkpoint_ep3350.pt,3350,success,227.33,22.73,94,52.1,2.79,3.7,0.9925,2.418404255319149,
checkpoint_ep3400.pt,3400,success,122.88,12.29,166,41.6,1.55,5.47,0.9149,0.7402409638554217,
checkpoint_ep3450.pt,3450,success,184.46,18.45,129,39.5,2.05,5.62,0.9881,1.4299224806201551,
checkpoint_ep3500.pt,3500,success,166.57,16.66,143,40.6,1.87,4.51,0.9707,1.1648251748251748,
checkpoint_ep3550.pt,3550,success,179.55,17.95,143,41.3,2.13,4.05,0.9911,1.2555944055944057,
checkpoint_ep3600.pt,3600,success,132.49,13.25,185,36.8,1.58,4.57,0.9233,0.7161621621621622,
checkpoint_ep3650.pt,3650,success,208.55,20.86,102,47.1,2.38,6.26,0.9872,2.044607843137255,
checkpoint_ep3700.pt,3700,success,167.51,16.75,115,43.5,1.94,7.34,0.9754,1.4566086956521738,
checkpoint_ep3750.pt,3750,success,176.53,17.65,115,46.1,2.03,7.31,0.9845,1.5350434782608695,
checkpoint_ep3800.pt,3800,success,179.22,17.92,130,41.5,1.96,5.76,0.9824,1.3786153846153846,
checkpoint_ep3850.pt,3850,success,130.56,13.06,139,37.4,1.61,6.1,0.9239,0.9392805755395683,
checkpoint_ep3900.pt,3900,success,151.47,15.15,168,38.1,1.74,4.36,0.9496,0.9016071428571428,
checkpoint_ep3950.pt,3950,success,89.05,8.91,145,40.0,1.43,6.48,0.8744,0.6141379310344828,
checkpoint_ep4000.pt,4000,success,167.84,16.78,55,56.4,4.26,1.51,0.9958,3.0516363636363635,
