episode,symbol,entry_time,exit_time,pnl_pct,pnl_usd,duration_hours,entry_fees_usd,exit_fees_usd,position_size_usd
1,BLESSUSDT,2025-10-23 07:21:09.540484428+00:00,2025-10-23 08:21:09.540484428+00:00,-0.03204300411045977,-1.0702363372893566,1.0,0.33400000000000013,0.6680000000000003,1670.0000000000005
1,XPINUSDT,2025-10-23 09:21:09.540484428+00:00,2025-10-23 11:21:09.540484428+00:00,0.08075862636869059,2.6964738125493732,2.0,0.3338929763662712,0.6677859527325424,1669.4648818313558
1,0GUSDT,2025-10-23 10:21:09.540484428+00:00,2025-10-23 12:21:09.540484428+00:00,0.0,0.0,2.0,0.0,0.0,0.0
1,APRUSDT,2025-10-23 13:21:09.540484428+00:00,2025-10-23 14:21:09.540484428+00:00,0.13311057542816052,4.448057913361709,1.0,0.33416262374752614,0.6683252474950523,1670.8131187376307
1,OMUSDT,2025-10-23 16:21:09.540484428+00:00,2025-10-23 18:21:09.540484428+00:00,0.007656903765693195,0.2562056887265035,2.0,0.3346074295388623,0.6692148590777246,1673.0371476943114
1,BLESSUSDT,2025-10-23 17:21:09.540484428+00:00,2025-10-23 20:21:09.540484428+00:00,0.0,0.0,3.0,0.0,0.0,0.0
1,CLOUSDT,2025-10-23 19:21:09.540484428+00:00,2025-10-23 21:21:09.540484428+00:00,-0.061309053504619265,-2.0516035573469065,2.0,0.33463305010773503,0.6692661002154701,1673.165250538675
1,DOODUSDT,2025-10-23 23:21:09.540484428+00:00,2025-10-24 04:21:09.540484428+00:00,-0.09907292176117846,-3.313274815615594,5.0,0.3344278897520003,0.6688557795040005,1672.1394487600014
1,CLOUSDT,2025-10-24 00:21:09.540484428+00:00,2025-10-24 05:21:09.540484428+00:00,0.0,0.0,5.0,0.0,0.0,0.0
1,BLESSUSDT,2025-10-24 06:21:09.540484428+00:00,2025-10-24 07:21:09.540484428+00:00,-0.06361295656906661,-2.125287010558388,1.0,0.3340965622704388,0.6681931245408776,1670.482811352194
1,OPENUSDT,2025-10-24 10:21:09.540484428+00:00,2025-10-24 12:21:09.540484428+00:00,0.0,0.0,2.0,0.0,0.0,0.0
1,CLOUSDT,2025-10-24 13:21:09.540484428+00:00,2025-10-24 15:21:09.540484428+00:00,0.0,0.0,2.0,0.0,0.0,0.0
