episode,entry_datetime,exit_datetime,symbol,long_exchange,short_exchange,status,position_size_usd,leverage,margin_used_usd,entry_long_price,entry_short_price,exit_long_price,exit_short_price,long_funding_rate,short_funding_rate,funding_earned_usd,long_funding_earned_usd,short_funding_earned_usd,entry_fees_usd,exit_fees_usd,total_fees_usd,realized_pnl_usd,realized_pnl_pct,unrealized_pnl_usd,unrealized_pnl_pct,hours_held
1,2025-12-17 12:30:00+00:00,2025-12-17 13:00:00+00:00,SAHARAUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.02967,0.02928,0.02887,0.02858,-0.00139464,-0.00357616,0.0278928,0.0278928,0.0,0.008,0.022000000000000002,0.030000000000000002,-0.06323037459264999,-0.31615187296325,-0.06323037459264999,-0.31615187296325,0.5
1,2025-12-17 17:45:00+00:00,2025-12-17 18:00:00+00:00,MMTUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.2053,0.2021,0.2088,0.2025,-0.00710316,-0.00300501,0.1420632,0.1420632,0.0,0.008,0.022000000000000002,0.030000000000000002,0.41344327810343956,2.067216390517198,0.41344327810343956,2.067216390517198,0.25
1,2025-12-18 03:35:00+00:00,2025-12-18 03:55:00+00:00,BEATUSDT,Bybit,Binance,closed,10.0,2.0,20.0,2.4573,2.4177,2.4699,2.4346,-0.00392619,-0.00163878,0.0,0.0,0.0,0.008,0.022000000000000002,0.030000000000000002,-0.06725071043046864,-0.3362535521523432,-0.06725071043046864,-0.3362535521523432,0.3333333333333333
1,2025-12-18 04:30:00+00:00,2025-12-18 04:35:00+00:00,SAHARAUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.02774,0.02745,0.02783,0.02745,-0.00395016,-0.00464549,0.0,0.0,0.0,0.008,0.022000000000000002,0.030000000000000002,0.03488824801730339,0.17444124008651696,0.03488824801730339,0.17444124008651696,0.08333333333333333
1,2025-12-18 05:35:00+00:00,2025-12-18 07:15:00+00:00,BEATUSDT,Bybit,Binance,closed,10.0,2.0,20.0,2.6723,2.6304,2.7405,2.6702,-0.00438585,-0.00418977,0.1515056,0.2860444,-0.1345388,0.008,0.022000000000000002,0.030000000000000002,0.3293117623105859,1.6465588115529295,0.3293117623105859,1.6465588115529295,1.6666666666666667
1,2025-12-18 15:30:00+00:00,2025-12-18 17:10:00+00:00,BEATUSDT,Bybit,Binance,closed,10.0,2.0,20.0,2.9198,2.8037,2.9117,2.7797,-0.01090568,-0.00997731,0.3228716,0.6460756,-0.323204,0.008,0.022000000000000002,0.030000000000000002,0.4085906874877585,2.0429534374387925,0.4085906874877585,2.0429534374387925,1.6666666666666667
1,2025-12-18 21:55:00+00:00,2025-12-18 23:05:00+00:00,WCTUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.07444,0.07286,0.07409,0.07366,1.25e-05,-0.00554209,0.1829124,0.1829124,0.0,0.008,0.022000000000000002,0.030000000000000002,-0.16072229620656225,-0.8036114810328112,-0.16072229620656225,-0.8036114810328112,1.1666666666666667
1,2025-12-18 23:30:00+00:00,2025-12-18 23:50:00+00:00,BEATUSDT,Bybit,Binance,closed,10.0,2.0,20.0,2.6336,2.5377,2.4906,2.4381,-0.00636576,-0.006415,0.0,0.0,0.0,0.008,0.022000000000000002,0.030000000000000002,-0.3310032165730552,-1.6550160828652758,-0.3310032165730552,-1.6550160828652758,0.3333333333333333
1,2025-12-19 00:30:00+00:00,2025-12-19 01:15:00+00:00,FUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.006626,0.006522,0.006745,0.00666,-0.00127033,-0.00629355,0.1214444,0.1214444,0.0,0.008,0.022000000000000002,0.030000000000000002,0.027452392822454607,0.13726196411227304,0.027452392822454607,0.13726196411227304,0.75
1,2025-12-19 01:30:00+00:00,2025-12-19 02:00:00+00:00,FUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.007082,0.006978,0.006974,0.006781,-0.00818368,-0.00999897,0.1636736,0.1636736,0.0,0.008,0.022000000000000002,0.030000000000000002,0.39330671165790176,1.966533558289509,0.39330671165790176,1.966533558289509,0.5
1,2025-12-19 02:50:00+00:00,2025-12-19 04:15:00+00:00,FUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.007164,0.00695,0.007229,0.007018,-0.00697703,-0.01514684,-0.012649999999999995,0.278758,-0.291408,0.008,0.022000000000000002,0.030000000000000002,-0.05687058333233028,-0.2843529166616514,-0.05687058333233028,-0.2843529166616514,1.4166666666666667
1,2025-12-19 05:30:00+00:00,2025-12-19 06:35:00+00:00,FUSDT,Bybit,Binance,closed,10.0,2.0,20.0,0.007265,0.007069,0.007492,0.007307,-0.00513866,-0.0166489,0.11789060000000001,0.11789060000000001,0.0,0.008,0.022000000000000002,0.030000000000000002,0.03944200213121016,0.1972100106560508,0.03944200213121016,0.1972100106560508,1.0833333333333333
