checkpoint,episode,status,pnl_usd,pnl_pct,trades,win_rate,profit_factor,max_drawdown,composite_score,avg_trade_pnl,error
checkpoint_ep1450.pt,1450,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1500.pt,1500,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1550.pt,1550,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1600.pt,1600,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1650.pt,1650,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1700.pt,1700,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1750.pt,1750,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1800.pt,1800,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1850.pt,1850,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1900.pt,1900,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1950.pt,1950,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2000.pt,2000,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2050.pt,2050,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2100.pt,2100,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2150.pt,2150,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2200.pt,2200,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2250.pt,2250,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2300.pt,2300,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2350.pt,2350,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2400.pt,2400,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2450.pt,2450,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2500.pt,2500,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2550.pt,2550,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2600.pt,2600,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2650.pt,2650,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2700.pt,2700,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2750.pt,2750,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2800.pt,2800,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep2850.pt,2850,error,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,"Traceback (most recent call last):
  File ""/Users/sansel/Projects/CryptoArbitrage/ml_pipeline/test_inference.py"", line 1156, in <module>
    success = test_model_inference(args)
  File ""/Users/sansel/"
checkpoint_ep2900.pt,2900,error,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,"Traceback (most recent call last):
  File ""/Users/sansel/Projects/CryptoArbitrage/ml_pipeline/test_inference.py"", line 1156, in <module>
    success = test_model_inference(args)
  File ""/Users/sansel/"
