episode,entry_datetime,exit_datetime,symbol,long_exchange,short_exchange,status,position_size_usd,leverage,margin_used_usd,entry_long_price,entry_short_price,exit_long_price,exit_short_price,long_funding_rate,short_funding_rate,funding_earned_usd,long_funding_earned_usd,short_funding_earned_usd,entry_fees_usd,exit_fees_usd,total_fees_usd,realized_pnl_usd,realized_pnl_pct,unrealized_pnl_usd,unrealized_pnl_pct,hours_held
1,2025-11-03 00:50:00+00:00,2025-11-03 01:05:00+00:00,LPTUSDT,Bybit,Binance,closed,2009.5535501454963,2.0,2009.5535501454963,5.411,5.363,5.411,5.363,-0.00214557,-0.005722,4.3116378105856725,4.3116378105856725,0.0,0.4019107100290993,0.8038214200581986,1.2057321300872978,3.1059056804983745,0.07727849999999999,3.909727100556573,0.0972785,0.25
1,2025-11-03 01:00:00+00:00,2025-11-03 01:40:00+00:00,MIRAUSDT,Bybit,Binance,closed,2009.9167049684763,2.0,2009.9167049684763,0.2376,0.2376,0.2376,0.2376,-0.00056142,-4.34e-06,0.0,0.0,0.0,0.40198334099369526,0.8039666819873905,1.2059500229810858,-1.2059500229810858,-0.03,-0.40198334099369526,-0.01,0.6666666666666666
1,2025-11-03 01:10:00+00:00,2025-11-03 07:00:00+00:00,0GUSDT,Bybit,Binance,closed,2010.5749651742808,2.0,2010.5749651742808,1.0771,1.0678,1.0771,1.0678,-0.00203313,-0.00050178,19.48223014354296,24.526561673668713,-5.044331530125753,0.4021149930348562,0.8042299860697124,1.2063449791045686,18.275885164438392,0.454494,19.080115150508103,0.47449399999999997,5.833333333333333
1,2025-11-03 01:45:00+00:00,2025-11-03 07:10:00+00:00,WALUSDT,Bybit,Binance,closed,1340.0850364795817,2.0,1340.0850364795817,0.2254,0.2253,0.2254,0.2253,-0.00013594,-3.87e-05,1.0411656682424464,1.0930269591542061,-0.05186129091175981,0.2680170072959164,0.5360340145918328,0.8040510218877491,0.23711464635469726,0.008847000000000002,0.77314866094653,0.028847000000000005,5.416666666666667
1,2025-11-03 07:05:00+00:00,2025-11-03 09:30:00+00:00,0GUSDT,Bybit,Binance,closed,2175.431350045565,2.0,2175.431350045565,1.3451,1.3267,1.3451,1.3267,-0.01,-0.00407372,25.784430602296062,43.508627000911304,-17.72419639861524,0.43508627000911304,0.8701725400182261,1.3052588100273392,24.479171792268723,0.562628,25.34934433228695,0.582628,2.4166666666666665
1,2025-11-03 07:15:00+00:00,2025-11-03 09:40:00+00:00,TRUTHUSDT,Binance,Bybit,closed,1316.6700948699029,2.0,1316.6700948699029,0.013629,0.013653,0.013629,0.013653,5e-05,0.00073958,0.9079493640203876,-0.06583350474349514,0.9737828687638828,0.26333401897398057,0.5266680379479611,0.7900020569219417,0.11794730709844592,0.004479000000000001,0.644615345046407,0.024479,2.4166666666666665
1,2025-11-03 09:35:00+00:00,2025-11-03 16:00:00+00:00,0GUSDT,Bybit,Binance,closed,2186.9828447771574,2.0,2186.9828447771574,1.4731,1.4429,1.4731,1.4429,-0.01,-0.00404246,100.04405511021378,153.088799134401,-53.04474402418722,0.4373965689554315,0.874793137910863,1.3121897068662944,98.73186540334748,2.257261999999999,99.60665854125834,2.277261999999999,6.416666666666667
1,2025-11-03 09:45:00+00:00,2025-11-03 16:10:00+00:00,MINAUSDT,Binance,Bybit,closed,1318.757394768747,2.0,1318.757394768747,0.1168,0.1168,0.1168,0.1168,-0.0011556,5e-05,1.6558317848716384,1.5239560453947638,0.1318757394768747,0.2637514789537494,0.5275029579074988,0.7912544368612482,0.8645773480103902,0.03277999999999999,1.392080305917889,0.052779999999999994,6.416666666666667
1,2025-11-03 16:05:00+00:00,2025-11-03 16:20:00+00:00,KITEUSDT,Bybit,Binance,closed,2210.205847851942,2.0,2210.205847851942,0.0782,0.07741,0.07871,0.07754,-0.01,-0.01899541,0.0,0.0,0.0,0.4420411695703884,0.8840823391407768,1.3261235087111651,9.376509965930238,0.2121184769971334,10.260592305071015,0.23211847699713342,0.25
1,2025-11-03 16:15:00+00:00,2025-11-03 16:30:00+00:00,KITEUSDT,Bybit,Binance,closed,1996.465717675498,2.0,1996.465717675498,0.07871,0.07754,0.07994,0.07893,-0.01,-0.01899541,0.0,0.0,0.0,0.3992931435350996,0.7985862870701992,1.197879430605299,-5.788246218549763,-0.14496232435408576,-4.989659931479564,-0.12496232435408577,0.25
1,2025-11-03 16:25:00+00:00,2025-11-03 16:40:00+00:00,KITEUSDT,Bybit,Binance,closed,2050.0137113096685,2.0,2050.0137113096685,0.07994,0.07893,0.08006,0.0792,-0.01,-0.01899541,0.0,0.0,0.0,0.41000274226193373,0.8200054845238675,1.2300082267858012,-5.165269325803488,-0.12598133605905523,-4.34526384127962,-0.10598133605905524,0.25
1,2025-11-03 16:35:00+00:00,2025-11-03 16:50:00+00:00,KITEUSDT,Bybit,Binance,closed,2035.7730137450153,2.0,2035.7730137450153,0.08006,0.0792,0.07805,0.07752,-0.01,-0.01899541,0.0,0.0,0.0,0.40715460274900306,0.8143092054980061,1.2214638082470093,-9.148864002574534,-0.22470245800498778,-8.334554797076528,-0.20470245800498776,0.25
1,2025-11-03 16:45:00+00:00,2025-11-03 17:00:00+00:00,KITEUSDT,Bybit,Binance,closed,2037.9511165223387,2.0,2037.9511165223387,0.07805,0.07752,0.07895,0.07832,-0.01,-0.01899541,20.379511165223388,20.379511165223388,0.0,0.40759022330446776,0.8151804466089355,1.2227706699134033,21.62500985339895,0.5305576193186847,22.440190300007885,0.5505576193186847,0.25
1,2025-11-03 16:55:00+00:00,2025-11-04 16:40:00+00:00,KITEUSDT,Bybit,Binance,closed,2035.2326444951632,2.0,2035.2326444951632,0.07895,0.07832,0.07796,0.07853,-0.01899541,-0.00110589,896.0296720037345,909.534132579059,-13.504460575324538,0.40704652889903264,0.8140930577980653,1.221139586697098,863.8304812883797,21.221910026473946,864.6445743461778,21.241910026473946,23.75
