entry_time,hour_of_day,day_of_week,symbol,strategy,long_exchange,short_exchange,long_funding_rate,short_funding_rate,long_funding_interval_hours,short_funding_interval_hours,long_next_funding_minutes,short_next_funding_minutes,current_price_spread_pct,fund_profit_8h,fund_apr,fund_profit_8h_24h_proj,fund_apr_24h_proj,fund_break_even_24h_proj,fund_profit_8h_3d_proj,fund_apr_3d_proj,fund_break_even_3d_proj,break_even_hours,price_spread_24h_avg,price_spread_3d_avg,spread_30sample_avg,spread_volatility_stddev,spread_volatility_cv,volume_24h,actual_hold_hours,actual_profit_pct,was_profitable,exit_time,peak_profit_pct,max_drawdown_pct
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,8,-2.8165973530470142324980654100,False,10/04/2025 08:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,8,-2.8165973530470142324980654100,False,10/04/2025 08:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,8,-2.8165973530470142324980654100,False,10/04/2025 08:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,8,-2.8165973530470142324980654100,False,10/04/2025 08:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,8,-2.8165973530470142324980654100,False,10/04/2025 08:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,8,-2.8165973530470142324980654100,False,10/04/2025 08:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,12,-3.1216977515720902550464450800,False,10/04/2025 12:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,REDUSDT,CrossExchangeFuturesFutures,Bybit,Binance,-0.00075271,-0.00108611,1,4,60,0.0000333333333333333,-0.1244555071561916614810205400,0.38494600,421.51587000,0.0349298133333333333333333400,38.248145600000000000000007300,45.806142298307921103500496652,0.1508818036529680365296803400,165.21557499999999999999997230,10.604327104148625212846914062,4.1564271352345523787752048336,-0.1845256794670580207542435089,-0.2063464191077566148140501957,-0.001765583123209986143065892,0.00124956029368132,0.7077323504370097070806527341,19330751,24,-3.8360892907135512092038418600,False,10/05/2025 00:00:00,0,-0.9934413204883519895027946400
10/04/2025 00:00:00,0,6,STBLUSDT,CrossExchangeFuturesFutures,Binance,Bybit,0.00007430,0.00081072,4,4,0.0000333333333333333,240,-0.0526273176261031495425471600,0.14728400,161.27598000,0.0403002380952380952380952400,44.128760714285714285714287800,39.701998688416114757681921307,0.0140360935672514619883041000,15.369522456140350877192989500,113.99183058547470764595198786,10.863366013959425327937861546,-0.0715127501297005199149626076,-0.0867227593510328442013416736,-0.0006466220581657327289971011,0.00259635411591751,4.0152575729979975486712595024,159063190,8,-1.3029082441763991584079792600,False,10/04/2025 08:00:00,0,-0.5601681709578037165132634600
10/04/2025 00:00:00,0,6,STBLUSDT,CrossExchangeFuturesFutures,Binance,Bybit,0.00007430,0.00081072,4,4,0.0000333333333333333,240,-0.0526273176261031495425471600,0.14728400,161.27598000,0.0403002380952380952380952400,44.128760714285714285714287800,39.701998688416114757681921307,0.0140360935672514619883041000,15.369522456140350877192989500,113.99183058547470764595198786,10.863366013959425327937861546,-0.0715127501297005199149626076,-0.0867227593510328442013416736,-0.0006466220581657327289971011,0.00259635411591751,4.0152575729979975486712595024,159063190,8,-1.3029082441763991584079792600,False,10/04/2025 08:00:00,0,-0.5601681709578037165132634600
